call_id,customer_id,order_id,call_type,call_start_time,call_duration_secs,vet_transfer_success
CALL000000,2567,ST2025008604,Free UCJ Consult,2024-12-11 06:26:00,1324,True
CALL000001,4992,ST2025006295,Free UCJ Consult,2024-12-12 17:33:00,994,True
CALL000002,4056,ST2025009873,Paid Vet Consult,2024-07-24 17:47:00,1499,True
CALL000003,3461,ST2025003428,Free UCJ Consult,2024-11-08 19:35:00,916,True
CALL000004,7364,ST2025008857,Free UCJ Consult,2024-01-23 04:02:00,1158,False
CALL000005,3849,ST2025002987,Free UCJ Consult,2024-08-03 23:35:00,470,True
CALL000006,4560,ST2025006024,Free UCJ Consult,2024-06-17 15:48:00,859,False
CALL000007,7164,ST2025003078,Free UCJ Consult,2024-05-31 14:28:00,1017,True
CALL000008,9101,ST2025009417,Free UCJ Consult,2024-05-09 08:12:00,924,True
CALL000009,2060,ST2025005274,Free UCJ Consult,2024-03-22 03:01:00,173,True
CALL000010,3098,ST2025003638,Free UCJ Consult,2024-07-16 15:07:00,982,True
CALL000011,7614,ST2025008270,Free UCJ Consult,2024-02-19 01:16:00,1754,False
CALL000012,5331,ST2025000040,Free UCJ Consult,2024-08-08 11:39:00,278,True
CALL000013,6329,ST2025009334,Free UCJ Consult,2024-05-14 16:15:00,879,False
CALL000014,2079,ST2025004640,Free UCJ Consult,2024-05-11 18:40:00,238,True
CALL000015,7310,ST2025005050,Free UCJ Consult,2024-07-07 16:51:00,239,True
CALL000016,7287,ST2025007291,Free UCJ Consult,2024-04-26 23:26:00,452,False
CALL000017,3833,ST2025006977,Paid Vet Consult,2024-07-23 22:02:00,1585,False
CALL000018,3108,ST2025005338,Free UCJ Consult,2024-08-08 20:54:00,740,True
CALL000019,7542,ST2025009278,Free UCJ Consult,2024-10-15 16:46:00,1195,True
CALL000020,2067,ST2025001560,Free UCJ Consult,2024-10-27 14:40:00,78,True
CALL000021,8088,ST2025007808,Paid Vet Consult,2024-07-05 08:25:00,243,False
CALL000022,7102,ST2025001814,Paid Vet Consult,2024-05-04 10:31:00,808,False
CALL000023,8579,ST2025003869,Paid Vet Consult,2024-07-12 13:14:00,1521,True
CALL000024,7806,ST2025009832,Free UCJ Consult,2024-04-21 00:37:00,1691,False
CALL000025,6565,ST2025006984,Free UCJ Consult,2024-02-15 05:47:00,144,True
CALL000026,5588,ST2025005286,Free UCJ Consult,2024-10-25 00:00:00,1384,False
CALL000027,4957,ST2025008529,Free UCJ Consult,2024-05-10 07:15:00,426,False
CALL000028,8204,ST2025005664,Free UCJ Consult,2024-11-29 20:03:00,1576,False
CALL000029,5780,ST2025005090,Paid Vet Consult,2024-09-27 08:17:00,938,True
CALL000030,9562,ST2025001331,Free UCJ Consult,2024-05-09 03:12:00,806,True
